Borough,Latitude,Longitude
MANHATTAN,40.75453375,-73.98542522
BROOKLYN,40.65542245,-73.95980772
BROOKLYN,40.6218798,-74.00579959
MANHATTAN,40.74194412,-73.99053432
MANHATTAN,40.8442409,-73.93896579
STATEN ISLAND,40.62587173,-74.13455503
MANHATTAN,40.72022472,-73.98881661
MANHATTAN,40.72022472,-73.98881661
MANHATTAN,40.71170264,-73.99426834
QUEENS,40.76372538,-73.91462218
MANHATTAN,40.81109928,-73.95233704
BROOKLYN,40.58585026,-73.95273182
MANHATTAN,40.71170264,-73.99426834
MANHATTAN,40.7599645,-73.96686657
BROOKLYN,40.6694764,-73.98605302
MANHATTAN,40.79828102,-73.93976279
QUEENS,40.75329748,-73.93466377
BROOKLYN,40.64868888,-73.97777972
BRONX,40.83610933,-73.92237131
QUEENS,40.74899684,-73.89152112
MANHATTAN,40.73548002,-73.98828001
QUEENS,40.69142967,-73.81174202
MANHATTAN,40.74419826,-73.97628628
BROOKLYN,40.67986969,-73.93981206
BRONX,40.90502389,-73.90174296
MANHATTAN,40.76426939,-73.96166613
MANHATTAN,40.76406836,-73.98110206
BRONX,40.88404469,-73.8625573
MANHATTAN,40.75740692,-73.96871233
MANHATTAN,40.76348063,-73.96727274
BRONX,40.90545695,-73.89788957
MANHATTAN,40.79500184,-73.96969146
MANHATTAN,40.79084201,-73.9745651
MANHATTAN,40.76793271,-73.95901057
STATEN ISLAND,40.63806615,-74.07918905
MANHATTAN,40.82551678,-73.95110543
MANHATTAN,,
MANHATTAN,40.77952317,-73.95055787
MANHATTAN,40.74036616,-74.00523252
QUEENS,40.70737782,-73.83570783
BRONX,40.90542119,-73.90094288
MANHATTAN,40.714722,-73.99760118
MANHATTAN,40.77880565,-73.94796591
MANHATTAN,40.75988283,-73.98237386
BROOKLYN,40.63761002,-74.00845283
QUEENS,40.76429842,-73.92999977
MANHATTAN,40.71730756,-73.99744236
MANHATTAN,40.76643238,-73.98678361
QUEENS,40.67989801,-73.85042415
MANHATTAN,40.79829257,-73.94086437
BROOKLYN,40.72030786,-73.94429941
MANHATTAN,40.7610934,-73.98326154
QUEENS,40.70473507,-73.91096118
QUEENS,40.7607385,-73.91757878
MANHATTAN,40.71725529,-73.99428951
MANHATTAN,40.73760185,-73.98964725
QUEENS,40.68474876,-73.83111953
MANHATTAN,40.76384969,-73.98784905
BROOKLYN,40.62255087,-74.03144419
QUEENS,40.76523444,-73.91388742
QUEENS,40.70881401,-73.83049588
BROOKLYN,40.60815168,-73.95976055
BROOKLYN,40.71102516,-73.95048244
MANHATTAN,40.71968947,-73.98856417
MANHATTAN,40.77899359,-73.950941
MANHATTAN,40.74148048,-73.99382552
MANHATTAN,40.72916482,-74.00524968
MANHATTAN,40.7424897,-73.98469528
STATEN ISLAND,40.60766678,-74.12105965
MANHATTAN,40.80725007,-73.96446617
BRONX,40.88154864,-73.86392219
MANHATTAN,40.80023297,-73.95246763
MANHATTAN,40.76852865,-73.98158817
MANHATTAN,40.76177066,-73.97905596
MANHATTAN,40.76189391,-73.96634941
MANHATTAN,40.7188885,-73.9959921
MANHATTAN,40.77899359,-73.950941
BROOKLYN,40.67900642,-73.8640759
MANHATTAN,40.73736568,-73.98842401
QUEENS,40.71350547,-73.75597738
MANHATTAN,40.72007646,-73.98835487
MANHATTAN,40.74428333,-73.97621768
MANHATTAN,40.81138958,-73.95773389
BROOKLYN,40.6207842,-73.98851988
QUEENS,40.7198382,-73.84498455
BROOKLYN,40.66879788,-73.93112015
BRONX,40.84346856,-73.91183085
QUEENS,40.69014987,-73.81467364
MANHATTAN,40.70644311,-74.01278971
BRONX,40.88024462,-73.83818089
BROOKLYN,40.69411953,-73.99183211
MANHATTAN,40.77202126,-73.95601508
Unspecified,,
BROOKLYN,40.64339071,-73.9942634
QUEENS,40.71759547,-73.7386035
BRONX,40.82493553,-73.92645645
QUEENS,40.75477669,-73.85374994
BROOKLYN,40.64376904,-74.01169668
BROOKLYN,40.61422734,-73.97431544
BROOKLYN,40.58746218,-73.95450927
MANHATTAN,40.75124755,-73.98043438
MANHATTAN,40.75753376,-73.97096464
QUEENS,40.77671941,-73.91155094
MANHATTAN,40.76700561,-73.98354164
MANHATTAN,40.71731854,-73.9974604
QUEENS,40.71630105,-73.83379198
MANHATTAN,40.73433056,-73.99903297
MANHATTAN,40.73100264,-73.98281448
MANHATTAN,40.72981819,-74.00065667
MANHATTAN,40.80356744,-73.96714106
MANHATTAN,40.76400751,-73.96687178
BROOKLYN,40.62860185,-73.97446481
MANHATTAN,40.77899359,-73.950941
MANHATTAN,40.7645202,-73.97552818
MANHATTAN,40.76065218,-73.97252991
MANHATTAN,40.76065218,-73.97252991
MANHATTAN,40.76065218,-73.97252991
BROOKLYN,40.69004631,-73.99218238
QUEENS,40.74915781,-73.86942584
QUEENS,40.780324,-73.79398547
QUEENS,40.68248591,-73.83601073
QUEENS,40.72700775,-73.89354127
MANHATTAN,40.79398146,-73.97228141
MANHATTAN,40.71845081,-73.98241368
BROOKLYN,40.66788844,-73.9506983
STATEN ISLAND,40.57477844,-74.11585968
QUEENS,40.68793844,-73.78962663
MANHATTAN,40.77564246,-73.95839926
MANHATTAN,40.77853622,-73.95333524
BRONX,40.83569398,-73.90305237
MANHATTAN,40.77537629,-73.95857995
MANHATTAN,40.75211988,-73.97767664
STATEN ISLAND,40.59777432,-74.0630703
QUEENS,40.76464356,-73.91658843
QUEENS,40.7362384,-73.71341569
MANHATTAN,40.76130178,-73.98183563
MANHATTAN,40.75760253,-73.97154575
BROOKLYN,40.57997508,-73.9746346
MANHATTAN,40.71426481,-73.980925
QUEENS,40.77192496,-73.91989361
BROOKLYN,40.683851,-73.91210319
QUEENS,40.69613364,-73.74329284
BROOKLYN,40.60503871,-73.97897188
BROOKLYN,40.59209672,-73.9775105
MANHATTAN,40.80075136,-73.95865085
STATEN ISLAND,40.62548412,-74.07495928
QUEENS,40.74848187,-73.89262994
MANHATTAN,40.74878966,-73.99224406
BROOKLYN,40.65080718,-73.94957212
MANHATTAN,40.83050507,-73.94746295
BRONX,40.81651654,-73.89971681
MANHATTAN,40.73939164,-74.00761411
MANHATTAN,40.80794548,-73.94586605
MANHATTAN,40.78874198,-73.94883568
MANHATTAN,40.74549167,-73.97961324
MANHATTAN,40.76541919,-73.98382361
BROOKLYN,40.63719561,-74.00778621
BROOKLYN,40.63748378,-74.00824383
BROOKLYN,40.63748378,-74.00824383
QUEENS,40.74716131,-73.89227478
MANHATTAN,40.73072344,-73.98905298
BROOKLYN,40.59013894,-73.97403306
BROOKLYN,40.63748378,-74.00824383
MANHATTAN,40.76541919,-73.98382361
BROOKLYN,40.63748378,-74.00824383
BROOKLYN,40.61989015,-73.96504139
BROOKLYN,40.63748378,-74.00824383
BROOKLYN,40.63748378,-74.00824383
QUEENS,40.77901208,-73.78208492
BROOKLYN,40.60162866,-73.99331269
BROOKLYN,40.67777359,-73.9839999
MANHATTAN,40.77402309,-73.95144291
QUEENS,40.77796775,-73.80919013
QUEENS,40.70888526,-73.83041634
MANHATTAN,40.78085409,-73.95670974
BROOKLYN,40.64246264,-73.94866318
MANHATTAN,40.77832127,-73.97811558
MANHATTAN,40.76793271,-73.95901057
BROOKLYN,40.66194164,-73.93148046
MANHATTAN,40.78415843,-73.9738599
